sample_id,condition,composition,spirulina_percent,nacl_percent,group,sample,sample_type,region_number,grid_row,grid_col,measurement_type,band,range_cm-1,range_start_cm-1,range_end_cm-1,value,source_column
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,integral,Band5,4956-5414,4956,5414,0.524267,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,integral,Band6,5414-6065,5414,6065,0.285655,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,integral,Band7,6065-7568,6065,7568,0.931488,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,integral,Band8,7568-8980,7568,8980,0.140257,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band1,4010-4192,4010,4192,0.000369344,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band2,4192-4488,4192,4488,0.00119956,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band3,4488-4759,4488,4759,0.000640144,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band4,4759-4956,4759,4956,0.000491037,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band5,4956-5414,4956,5414,0.00270347,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band6,5414-6065,5414,6065,0.000908686,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band7,6065-7568,6065,7568,0.00106186,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_02,region,2.0,1.0,2.0,peak_depth,Band8,7568-8980,7568,8980,0.000322106,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band1,4010-4192,4010,4192,0.0281152,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band2,4192-4488,4192,4488,0.19519,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band3,4488-4759,4488,4759,0.0989384,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band4,4759-4956,4759,4956,0.0496009,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band5,4956-5414,4956,5414,0.510104,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band6,5414-6065,5414,6065,0.192004,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band7,6065-7568,6065,7568,0.654675,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,integral,Band8,7568-8980,7568,8980,0.104295,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band1,4010-4192,4010,4192,0.000442249,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band2,4192-4488,4192,4488,0.0013079,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band3,4488-4759,4488,4759,0.000850784,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band4,4759-4956,4759,4956,0.000581174,P_Band4_4759-4956
