sample_id,condition,composition,spirulina_percent,nacl_percent,group,sample,sample_type,region_number,grid_row,grid_col,measurement_type,band,range_cm-1,range_start_cm-1,range_end_cm-1,value,source_column
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,integral,Band8,7568-8980,7568,8980,0.476175,I_Band8_7568-8980
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band1,4010-4192,4010,4192,0.00133066,P_Band1_4010-4192
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band2,4192-4488,4192,4488,0.00460718,P_Band2_4192-4488
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band3,4488-4759,4488,4759,0.00345487,P_Band3_4488-4759
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band4,4759-4956,4759,4956,0.00268432,P_Band4_4759-4956
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band5,4956-5414,4956,5414,0.0101556,P_Band5_4956-5414
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band6,5414-6065,5414,6065,0.00391134,P_Band6_5414-6065
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band7,6065-7568,6065,7568,0.00525346,P_Band7_6065-7568
M2,ambient,85% spirulina / 15% NaCl,85,15,M2_ambient,average,average,,,,peak_depth,Band8,7568-8980,7568,8980,0.00112794,P_Band8_7568-8980
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band1,4010-4192,4010,4192,-0.0400266,I_Band1_4010-4192
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band2,4192-4488,4192,4488,0.621359,I_Band2_4192-4488
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band3,4488-4759,4488,4759,0.345707,I_Band3_4488-4759
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band4,4759-4956,4759,4956,0.259936,I_Band4_4759-4956
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band5,4956-5414,4956,5414,-0.586331,I_Band5_4956-5414
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band6,5414-6065,5414,6065,0.995822,I_Band6_5414-6065
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band7,6065-7568,6065,7568,1.29391,I_Band7_6065-7568
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,integral,Band8,7568-8980,7568,8980,0.346807,I_Band8_7568-8980
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band1,4010-4192,4010,4192,0.000392791,P_Band1_4010-4192
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band2,4192-4488,4192,4488,0.00387159,P_Band2_4192-4488
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band3,4488-4759,4488,4759,0.00274983,P_Band3_4488-4759
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band4,4759-4956,4759,4956,0.00264234,P_Band4_4759-4956
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band5,4956-5414,4956,5414,0.0,P_Band5_4956-5414
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band6,5414-6065,5414,6065,0.00322837,P_Band6_5414-6065
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band7,6065-7568,6065,7568,0.00249781,P_Band7_6065-7568
M2,vacuum,85% spirulina / 15% NaCl,85,15,M2_vacuum,average,average,,,,peak_depth,Band8,7568-8980,7568,8980,0.000772002,P_Band8_7568-8980
